Number,Microphone,ACI,ADI,AEI,BI,H,NDSI
52,SM,1829.465144,0.603070509,0.85196,7.186910715,0.36897251,-0.302000779
53,SM,1838.692546,0.569605759,0.856334,6.640329412,0.375338,-0.379882293
54,SM,1806.251411,1.014835827,0.773798,5.902649763,0.399826735,0.470342092
55,SM,1819.623053,0.919489082,0.791777,5.121015616,0.40081377,0.362346912
56,SM,1807.948176,0.79462974,0.81935,8.264790719,0.379701489,0.005270475
57,SM,1808.3068,0.552317552,0.855954,5.28273404,0.365317473,-0.463499258
58,SM,1805.48923,0.842671508,0.817683,8.170876382,0.379460347,0.077364665
59,SM,1803.771275,0.596986144,0.852902,5.812471146,0.371748414,-0.202745453
60,SM,1791.058368,0.602827026,0.851356,5.559203004,0.361411499,-0.418458796
61,SM,1798.940132,0.883266141,0.769057,4.468353231,0.356540003,0.508536795
62,SM,1772.906188,0.53212456,0.853429,3.237821891,0.364313907,-0.148945018
63,SM,1688.034605,0.230651135,0.887717,3.759045221,0.321377367,-0.224927752
64,SM,1795.045588,0.822843544,0.788136,3.423636529,0.36467656,0.366600378
65,SM,1783.617065,1.016463436,0.739676,4.592585105,0.374900668,0.67795605
66,SM,1767.839902,0.337300527,0.879298,2.941094573,0.344644955,-0.167593554
67,SM,1779.39178,0.381989966,0.874772,2.749645654,0.351160611,-0.183178691
68,SM,1755.516899,0.618598768,0.849025,3.430217508,0.35327176,-0.283830809
69,SM,1746.942193,0.278165195,0.883512,3.707712144,0.328307621,-0.202944864
70,SM,1759.89596,0.472132165,0.865489,4.325487367,0.356306411,-0.241292113
71,SM,1763.732593,1.042966389,0.727794,4.243670884,0.362468104,0.527512092
72,SM,1770.962837,1.004258972,0.729935,6.034250452,0.351766792,0.667176896
73,SM,1777.796668,0.727851456,0.814557,4.660464401,0.341324825,0.112005213
74,SM,1720.2552,0.514214129,0.857197,4.352925334,0.346999416,-0.157640229
75,SM,1755.909614,0.357350623,0.877276,3.704824384,0.340645149,-0.259940248
76,SM,1787.423308,0.722147118,0.799348,6.228010234,0.348774267,0.631270204
77,SM,1793.619146,0.372719736,0.875204,3.825799047,0.333703487,-0.191045641
78,SM,1802.424449,0.455868918,0.859724,4.290070103,0.340343062,-0.094903292
79,SM,1818.416287,0.711936948,0.816115,2.846802447,0.352471123,0.147135989
80,SM,1801.240715,0.429363896,0.862096,2.661680479,0.355745609,0.021672537
81,SM,1801.696804,0.345598439,0.878122,3.509203048,0.34572873,-0.184396101
82,SM,1806.267636,0.305810523,0.881745,3.283328336,0.347300635,-0.239793725
83,SM,1795.720452,0.444236839,0.868896,4.052836322,0.355374131,-0.288237929
84,SM,1794.530847,0.581318853,0.852861,4.197245863,0.375189762,-0.404296494
85,SM,1798.430991,0.415665879,0.871788,5.640056264,0.368829127,-0.314789744
86,SM,1800.417284,0.465051901,0.866204,2.912179936,0.367549934,-0.34417768
87,SM,1765.471548,0.497972966,0.862977,4.388573002,0.338413989,-0.322012121
88,SM,1763.033904,0.457636831,0.868361,3.986557018,0.334502619,-0.234259437
89,SM,1788.174062,0.360359361,0.876919,2.941567844,0.35145527,-0.247471911
90,SM,1784.03794,0.300156791,0.882725,2.579823537,0.354726666,-0.24373684
91,SM,1750.304639,0.3246181,0.879378,3.307724995,0.354624793,-0.171432969
92,SM,1753.733131,0.285435103,0.883825,3.073972059,0.333669168,-0.224138614
93,SM,1761.394905,0.21883188,0.888545,4.108457075,0.319951461,-0.213119062
94,SM,1796.202274,0.260874272,0.885575,5.56333416,0.336755713,-0.258176049
95,SM,1788.749158,0.226912165,0.887014,2.553241539,0.36445318,-0.146838761
96,SM,1814.693759,0.23892143,0.886763,2.29524505,0.345115041,-0.162166311
97,SM,1804.05381,0.303263373,0.88181,3.13008791,0.331867676,-0.177983858
98,SM,1868.665668,1.338211616,0.656371,3.785430135,0.384175278,0.676693286
99,SM,1850.037782,1.233232803,0.669844,6.826361078,0.388129328,0.867540618
100,SM,1841.398985,0.830539851,0.777784,4.728505676,0.361635808,0.724216471
101,SM,1849.658716,1.061634339,0.741377,4.675282462,0.386466685,0.56143526
102,SM,1819.945295,0.734790174,0.817441,5.890330811,0.346658713,0.032807904
103,SM,1807.044181,0.559179712,0.852918,5.439976043,0.349612704,-0.160343953
104,SM,1805.578423,0.586693669,0.846669,5.48575726,0.341243318,0.027330745
105,SM,1793.895975,0.549927422,0.858199,5.174382483,0.341848817,-0.349426274
106,SM,1789.301057,0.501165165,0.864016,4.321686714,0.341541679,-0.333443036
107,SM,1782.438357,0.451172156,0.867206,5.913315772,0.332401132,-0.234276882
108,SM,1785.889715,0.319926492,0.880909,3.510388777,0.334782378,-0.368268625
109,SM,1790.702791,0.578132414,0.85328,5.072198919,0.355005861,-0.287166355
110,SM,1758.062821,0.383541948,0.874644,5.038573656,0.331643986,-0.223987714
111,SM,1744.087969,0.492710702,0.859384,4.833449749,0.339398933,-0.151441339
112,SM,1680.742097,0.403040333,0.869531,3.777955106,0.337629877,-0.230516831
113,SM,1659.410047,0.703503979,0.817111,6.008174178,0.339001808,0.058468077
114,SM,1689.9687,0.29960364,0.882808,3.151913671,0.332166074,-0.25058296
